SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
37082_2#7,68.63812049165112,Urban,100.2578224300455,Rural,1.148473352286665,Urban,Urban
37082_2#8,106.81861680101235,Urban,68.55656651135294,Rural,1.6724317051458935,Urban,Urban
37082_2#9,99.05283065386747,Urban,79.9390520669332,Rural,1.5723416609728467,Urban,Urban
37082_3#10,47.66867347977184,Rural,14.204106012842235,Rural,0.7248088215838773,Rural,Rural
37082_3#11,74.49580569022278,Urban,12.081195402165896,Rural,1.1194311587188228,Urban,Rural
37082_3#12,50.72393792087338,Rural,14.287228077793342,Rural,0.7701779531791287,Rural,Rural
37082_3#13,58.137952589607195,Rural,15.696645195761098,Rural,0.8818586008028937,Rural,Rural
37082_3#14,74.0099364853687,Urban,9.530854439874565,Rural,1.1088838362732618,Urban,Rural
37082_3#15,33.401947332609986,Rural,14.870469478060294,Rural,0.5143402073397486,Rural,Rural
37082_3#17,43.06606091570192,Rural,17.409837411666274,Rural,0.6608374261661298,Rural,Rural
37082_3#19,38.69636947779279,Rural,23.851292550028177,Rural,0.6045664644310537,Rural,Rural
37082_3#1,57.21813672272974,Rural,19.63147978104265,Rural,0.8734009200145502,Rural,Rural
37082_3#20,42.4952595830166,Rural,15.600631918645835,Rural,0.6500053918932447,Rural,Rural
37082_3#21,51.56736843077974,Rural,15.370171549544594,Rural,0.784094734002887,Rural,Rural
37082_3#22,27.305830023529605,Rural,15.655377288031973,Rural,0.4250647344454586,Rural,Rural
37082_3#23,35.81926858197945,Rural,18.966022570488033,Rural,0.5555291721727835,Rural,Rural
37082_3#24,41.94058799703462,Rural,18.29540687293122,Rural,0.6453281012155587,Rural,Rural
37082_3#25,67.69430796164978,Urban,12.441093525595894,Rural,1.0191481160848452,Rural,Rural
37082_3#26,48.03692504376827,Rural,19.216976367949393,Rural,0.7368482201596933,Rural,Rural
37082_3#27,33.087548238494016,Rural,12.758508385930286,Rural,0.5069087966937448,Rural,Rural
37082_3#28,64.70748424418046,Rural,11.90653913404045,Rural,0.9741999103120311,Rural,Rural
37082_3#29,24.49322449611363,Rural,17.120055578699326,Rural,0.38532326871726397,Rural,Rural
37082_3#2,51.39188147867882,Rural,18.189143109770693,Rural,0.7851977208333485,Rural,Rural
