SampleID,Taxon,BHC,BHC percent within sample,Lifestyle,Index
37035_1#21,Lentihominibacter,0.061324733042381174,0.03151259686910659,Rural,T2
37035_1#22,Lentihominibacter,3.9813611338416646,1.595789945446864,Rural,T2
37035_1#23,Lentihominibacter,1.4747829613311587,1.0823037057151426,Rural,T2
37035_1#24,Lentihominibacter,0.4209434271465586,0.2586981317095303,Rural,T2
37035_1#25,Lentihominibacter,0.015062932070867953,0.015630756807369087,Rural,T2
37035_1#26,Lentihominibacter,0.30932279327081896,0.33442596267431723,Rural,T2
37035_1#27,Lentihominibacter,0.11639034337043588,0.12076068861141785,Rural,T2
37035_1#29,Lentihominibacter,0.1681423770736036,0.060458119629468295,Urban,T2
37035_1#2,Lentihominibacter,7.332454350864158e-05,3.57828457635498e-05,Rural,T2
37035_1#30,Lentihominibacter,0.304335203204038,0.1239849558894499,Urban,T2
37035_1#31,Lentihominibacter,1.0798818177313495e-05,4.152166511062884e-06,Urban,T2
37035_1#32,Lentihominibacter,0.1139451833101076,0.07167914141242646,Urban,T2
37035_1#3,Lentihominibacter,0.0017570164254197716,0.0007069209034566631,Rural,T2
37035_1#4,Lentihominibacter,0.005743289302197667,0.00337906423145122,Rural,T2
37035_1#5,Lentihominibacter,0.3941072380582259,0.2863594969360416,Rural,T2
37035_1#6,Lentihominibacter,6.392927624242134,2.8800984269899104,Rural,T2
37035_1#7,Lentihominibacter,1.9132295755168003,2.453019536528211,Rural,T2
37035_1#8,Lentihominibacter,6.274765032503728,2.205036215567826,Rural,T2
37035_1#9,Lentihominibacter,0.02260848696269156,0.01064134213777743,Rural,T2
37035_2#10,Lentihominibacter,0.1591906168808944,0.046963261537970306,Urban,T2
37035_2#11,Lentihominibacter,1.7946776061095024,0.6796389501497732,Urban,T2
37035_2#12,Lentihominibacter,0.015067197817531196,0.005841261625103676,Urban,T2
37035_2#13,Lentihominibacter,4.497055297220822,1.512519383338463,Urban,T2
37035_2#14,Lentihominibacter,1.989340750023909,0.953281935656339,Urban,T2
37035_2#15,Lentihominibacter,1.093886825078313,0.23695282558866357,Urban,T2
37035_2#16,Lentihominibacter,0.10880549107037889,0.028313508524713267,Urban,T2
37035_2#17,Lentihominibacter,3.9617749759483467,1.1876867059300134,Urban,T2
37035_2#18,Lentihominibacter,2.3313878215809267,0.6014429829221628,Urban,T2
37035_2#19,Lentihominibacter,0.37070115421690963,0.09481040163140246,Urban,T2
37035_2#1,Lentihominibacter,0.019741168171064773,0.005030712496767414,Urban,T2
37035_2#20,Lentihominibacter,0.07607293969434108,0.019075878852056943,Urban,T2
37035_2#21,Lentihominibacter,0.725935859024318,0.3686702846523233,Urban,T2
37035_2#23,Lentihominibacter,0.32142993735167397,0.11213550362594239,Urban,T2
37035_2#24,Lentihominibacter,0.6044255862513975,0.3195734711584202,Urban,T2
37035_2#25,Lentihominibacter,0.0561422044598457,0.01643220983818683,Urban,T2
37035_2#26,Lentihominibacter,0.2205545539652898,0.05470282160880186,Urban,T2
37035_2#27,Lentihominibacter,0.7824573161639912,0.22020260597546246,Urban,T2
