number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
118,0.5380584144570676,2024-12-18 23:48:05.735140,2024-12-18 23:48:05.844510,0 days 00:00:00.109370,kmeans,abundance,1.5,9,COMPLETE
119,0.6154412603333648,2024-12-18 23:48:05.845841,2024-12-18 23:48:05.954204,0 days 00:00:00.108363,kmeans,abundance,2.1,10,COMPLETE
120,0.5701683698577119,2024-12-18 23:48:05.955527,2024-12-18 23:48:06.067166,0 days 00:00:00.111639,kmeans,abundance,1.3,8,COMPLETE
121,0.6315714057365374,2024-12-18 23:48:06.068198,2024-12-18 23:48:06.177507,0 days 00:00:00.109309,kmeans,abundance,1.7000000000000002,10,COMPLETE
122,0.3027432725862467,2024-12-18 23:48:06.178550,2024-12-18 23:48:06.344344,0 days 00:00:00.165794,kmeans,abundance,0.1,10,COMPLETE
123,0.6431860560420494,2024-12-18 23:48:06.345606,2024-12-18 23:48:06.455358,0 days 00:00:00.109752,kmeans,abundance,1.7000000000000002,10,COMPLETE
124,0.5215417757794275,2024-12-18 23:48:06.456709,2024-12-18 23:48:06.568866,0 days 00:00:00.112157,kmeans,abundance,1.6,10,COMPLETE
125,0.5843225521570957,2024-12-18 23:48:06.570177,2024-12-18 23:48:06.681249,0 days 00:00:00.111072,kmeans,abundance,1.7000000000000002,5,COMPLETE
126,0.6037574674822824,2024-12-18 23:48:06.682606,2024-12-18 23:48:06.790824,0 days 00:00:00.108218,kmeans,abundance,1.7000000000000002,9,COMPLETE
127,0.5769604474352105,2024-12-18 23:48:06.792222,2024-12-18 23:48:06.901828,0 days 00:00:00.109606,kmeans,abundance,1.8,10,COMPLETE
128,0.5459559316084311,2024-12-18 23:48:06.903091,2024-12-18 23:48:07.011807,0 days 00:00:00.108716,kmeans,abundance,1.9000000000000001,9,COMPLETE
129,0.5312969321620349,2024-12-18 23:48:07.013181,2024-12-18 23:48:07.137229,0 days 00:00:00.124048,kmeans,abundance,0.4,7,COMPLETE
130,0.5376003330079872,2024-12-18 23:48:07.138608,2024-12-18 23:48:07.247598,0 days 00:00:00.108990,kmeans,abundance,2.0,10,COMPLETE
131,0.5950027334747102,2024-12-18 23:48:07.248930,2024-12-18 23:48:07.355359,0 days 00:00:00.106429,kmeans,abundance,1.5,10,COMPLETE
132,0.5720450478819928,2024-12-18 23:48:07.356707,2024-12-18 23:48:07.467454,0 days 00:00:00.110747,kmeans,abundance,1.6,10,COMPLETE
133,0.5895944961764307,2024-12-18 23:48:07.468795,2024-12-18 23:48:07.577204,0 days 00:00:00.108409,kmeans,abundance,1.7000000000000002,10,COMPLETE
134,0.5638471426643955,2024-12-18 23:48:07.578807,2024-12-18 23:48:07.689551,0 days 00:00:00.110744,kmeans,abundance,1.6,10,COMPLETE
135,0.649044312340849,2024-12-18 23:48:07.690831,2024-12-18 23:48:07.801537,0 days 00:00:00.110706,kmeans,abundance,1.5,10,COMPLETE
136,0.5833499709121809,2024-12-18 23:48:07.802742,2024-12-18 23:48:07.907897,0 days 00:00:00.105155,kmeans,abundance,2.5,9,COMPLETE
137,0.5513394204245757,2024-12-18 23:48:07.909138,2024-12-18 23:48:08.020267,0 days 00:00:00.111129,kmeans,abundance,1.4000000000000001,10,COMPLETE
138,0.6207816248955105,2024-12-18 23:48:08.021611,2024-12-18 23:48:08.133619,0 days 00:00:00.112008,kmeans,abundance,1.2000000000000002,9,COMPLETE
139,0.5625928238315953,2024-12-18 23:48:08.134974,2024-12-18 23:48:08.245285,0 days 00:00:00.110311,kmeans,abundance,1.8,10,COMPLETE
140,0.47952201580111903,2024-12-18 23:48:08.246644,2024-12-18 23:48:08.359995,0 days 00:00:00.113351,kmeans,abundance,0.9,8,COMPLETE
141,0.5624240643016849,2024-12-18 23:48:08.361372,2024-12-18 23:48:08.473260,0 days 00:00:00.111888,kmeans,abundance,1.5,10,COMPLETE
142,0.5647454150816558,2024-12-18 23:48:08.474585,2024-12-18 23:48:08.586670,0 days 00:00:00.112085,kmeans,abundance,1.4000000000000001,10,COMPLETE
143,0.555036553763434,2024-12-18 23:48:08.588015,2024-12-18 23:48:08.694189,0 days 00:00:00.106174,kmeans,abundance,2.2,10,COMPLETE
144,0.5947317726712301,2024-12-18 23:48:08.695503,2024-12-18 23:48:08.803396,0 days 00:00:00.107893,kmeans,abundance,1.7000000000000002,10,COMPLETE
145,0.48205678901899657,2024-12-18 23:48:08.804766,2024-12-18 23:48:08.914281,0 days 00:00:00.109515,kmeans,abundance,1.6,7,COMPLETE
146,0.5697729498801086,2024-12-18 23:48:08.915632,2024-12-18 23:48:09.028479,0 days 00:00:00.112847,kmeans,abundance,1.3,10,COMPLETE
147,0.5431090043546384,2024-12-18 23:48:09.030006,2024-12-18 23:48:09.143454,0 days 00:00:00.113448,kmeans,abundance,1.1,9,COMPLETE
148,0.5115105008208637,2024-12-18 23:48:09.144947,2024-12-18 23:48:09.256387,0 days 00:00:00.111440,kmeans,abundance,1.4000000000000001,10,COMPLETE
149,0.4991842400792086,2024-12-18 23:48:09.257752,2024-12-18 23:48:09.365727,0 days 00:00:00.107975,kmeans,abundance,1.5,9,COMPLETE
150,0.6008378235058419,2024-12-18 23:48:09.367085,2024-12-18 23:48:09.476064,0 days 00:00:00.108979,kmeans,abundance,1.5,10,COMPLETE
151,0.4759507657094671,2024-12-18 23:48:09.477374,2024-12-18 23:48:09.586596,0 days 00:00:00.109222,kmeans,abundance,1.6,10,COMPLETE
152,0.5591738423672469,2024-12-18 23:48:09.587936,2024-12-18 23:48:09.698228,0 days 00:00:00.110292,kmeans,abundance,1.7000000000000002,10,COMPLETE
153,0.6423299863880024,2024-12-18 23:48:09.699575,2024-12-18 23:48:09.811564,0 days 00:00:00.111989,kmeans,abundance,1.7000000000000002,10,COMPLETE
154,0.4778746591366522,2024-12-18 23:48:09.812935,2024-12-18 23:48:09.921654,0 days 00:00:00.108719,kmeans,abundance,1.9000000000000001,10,COMPLETE
155,0.6207529447773045,2024-12-18 23:48:09.923041,2024-12-18 23:48:10.036277,0 days 00:00:00.113236,kmeans,abundance,1.6,10,COMPLETE
156,0.5667124145803454,2024-12-18 23:48:10.037567,2024-12-18 23:48:10.148965,0 days 00:00:00.111398,kmeans,abundance,1.8,9,COMPLETE
157,0.5225338600733753,2024-12-18 23:48:10.150348,2024-12-18 23:48:10.260311,0 days 00:00:00.109963,kmeans,abundance,1.4000000000000001,10,COMPLETE
158,0.48521325420158073,2024-12-18 23:48:10.261669,2024-12-18 23:48:10.378346,0 days 00:00:00.116677,kmeans,abundance,0.7000000000000001,8,COMPLETE
