,PC1,PC2,contribution
GGB3429,-0.06941910710670449,0.03419539621346113,0.10361450332016561
Mediterraneibacter,0.03272373710334677,0.06991649067553397,0.10264022777888074
GGB9502,0.08091956982859314,-0.02154164851856757,0.10246121834716071
Pseudoflavonifractor,0.006053309784803167,-0.09613980182337296,0.10219311160817612
Agathobacter,0.06765524155813929,0.03451974807255531,0.1021749896306946
GGB34797,-0.048828648727851795,0.05327771702909039,0.10210636575694218
GGB2982,0.060615244282451325,0.040268208337009025,0.10088345261946036
GGB9342,0.007630773740104835,-0.09249610416681246,0.1001268779069173
Christensenella,0.044393958962938955,0.05446566748509158,0.09885962644803054
Parvimonas,0.017409279798949493,0.08127126006631935,0.09868053986526884
GGB9420,-0.062099990143759214,0.03644229089529833,0.09854228103905754
Ligilactobacillus,-0.03153528820011412,0.06660271635344418,0.09813800455355831
GGB9347,0.011338124753419578,-0.08652791408612338,0.09786603883954297
GGB143455,-0.015033342085445071,-0.08167970059701128,0.09671304268245635
Fusicatenibacter,0.023088696249994232,0.07358597120141425,0.09667466745140849
Coprobacillus,0.04948150456229124,0.046988876299331066,0.0964703808616223
Turicibacter,-0.019472823285140654,0.07691231730595322,0.09638514059109388
Lachnospira,0.08271443540975086,0.012437118241059298,0.09515155365081016
Sutterella,0.06988633908478534,0.02486217698132008,0.09474851606610542
GGB9491,0.05187311992083155,0.0425181170508319,0.09439123697166346
Hungatella,0.051841896428147224,0.04222726455991754,0.09406916098806477
GGB74412,0.07741273293200833,0.015678155267820425,0.09309088819982875
Butyricimonas,0.08158113452810255,-0.011328478827482742,0.09290961335558529
GGB13493,0.005066133514680657,-0.087523640962921,0.09258977447760167
GGB3623,-0.037185424557131745,-0.05489818032656721,0.09208360488369896
GGB9345,-0.005664808540826866,-0.08582866942549003,0.09149347796631689
Gallintestinimicrobium,0.07787236178955044,-0.012518667065600191,0.09039102885515063
Waltera,0.05621838886214009,-0.0339825478627383,0.09020093672487839
Wujia,0.04386015303976571,-0.04624161305718866,0.09010176609695436
Coprobacter,0.05394742606503947,0.035964650277919515,0.08991207634295897
Schaalia,-0.01702298546389032,0.07266710913784537,0.08969009460173569
Hominifimenecus,0.05774326314431715,-0.031884477569447074,0.08962774071376423
Anaeromassilibacillus,0.049054170896921864,0.040175628896631024,0.08922979979355289
GGB9383,-0.06041619865044271,0.028547679687608768,0.08896387833805147
Anaerotruncus,0.0470257682072088,0.04144078977595063,0.08846655798315943
GGB12785,-0.006175979315451974,0.0820659880973078,0.08824196741275976
GGB1239,-0.08614612189875213,-0.0018267568170475857,0.08797287871579972
Prevotella,-0.05219265947957419,-0.03453708505864117,0.08672974453821536
GGB9774,-4.2459082829235334e-05,-0.08571855313746336,0.0857610122202926
GGB2958,-0.016672874203810747,-0.06803979132849645,0.0847126655323072
Faecalicatena,0.08361466264809099,0.001042486300518334,0.08465714894860932
Blautia,0.00603682181763917,0.07857377584683753,0.0846105976644767
GGB49418,-0.0265876666237095,-0.05790791504102058,0.08449558166473008
GGB9790,-0.07174975744188689,-0.01244703206395163,0.08419678950583852
Eshraghiella,-0.0061089568607410405,-0.07801071577815907,0.08411967263890012
GGB52130,0.04831563709306431,0.03533849519468168,0.08365413228774599
Treponema,-0.08167620234931912,0.0017262640866903252,0.08340246643600945
Clostridium,0.023465503709724153,0.05975088635247234,0.0832163900621965
Segatella,-0.05079692676890564,-0.03168957832235273,0.08248650509125838
